Time (s),Frame Time (ms),Mode
4.4e-05,0.043,Single
0.047845,0.047,Single
0.110812,0.045,Single
0.157476,0.057,Single
0.20328,0.061,Single
0.249305,0.046,Single
0.295158,0.045,Single
0.34184,0.053,Single
0.388405,0.052,Single
0.434797,0.05,Single
0.481113,0.054,Single
0.5275,0.047,Single
0.574348,0.05,Single
0.620939,0.055,Single
0.667687,0.066,Single
0.714039,0.049,Single
0.761016,0.045,Single
0.807418,0.048,Single
0.854231,0.051,Single
0.901043,0.049,Single
0.947703,0.044,Single
0.995084,0.046,Single
1.04222,0.044,Single
1.08862,0.044,Single
1.13556,0.045,Single
1.18196,0.045,Single
1.22809,0.05,Single
1.27487,0.045,Single
1.32173,0.046,Single
1.368,0.049,Single
1.41424,0.045,Single
1.46087,0.049,Single
1.50724,0.049,Single
1.55343,0.049,Single
1.59981,0.055,Single
1.6464,0.044,Single
1.69823,0,Multi
1.74818,0.001,Multi
1.79481,0.001,Multi
1.84185,0.001,Multi
1.88851,0,Multi
1.93426,0,Multi
1.97984,0,Multi
2.02598,0,Multi
2.07234,0.001,Multi
2.11938,0.001,Multi
2.16651,0,Multi
2.21316,0,Multi
2.26002,0,Multi
2.30674,0,Multi
2.35406,0.001,Multi
2.40074,0,Multi
2.44647,0,Multi
2.49239,0.001,Multi
2.53888,0,Multi
2.58544,0,Multi
2.63194,0,Multi
2.67871,0,Multi
2.72538,0.001,Multi
2.77263,0.001,Multi
2.8199,0,Multi
2.86704,0,Multi
2.9143,0.001,Multi
2.96149,0,Multi
3.0084,0.001,Multi
3.05588,0,Multi
3.10246,0,Multi
3.14899,0.001,Multi
3.1963,0,Multi
3.24369,0.001,Multi
3.29047,0.001,Multi
3.33662,0,Multi
3.38431,0,Multi
3.43169,0,Multi
3.47898,0,Multi
3.52608,0,Multi
3.5732,0,Multi
3.62066,0,Multi
3.66786,0,Multi
3.71473,0,Multi
3.76118,0.001,Multi
3.80832,0.001,Multi
3.85596,0.001,Multi
3.90298,0,Multi
3.95018,0,Multi
3.99726,0,Multi
4.04434,0.001,Multi
4.09163,0,Multi
4.13802,0,Multi
4.18504,0,Multi
4.23254,0.001,Multi
4.27919,0.001,Multi
4.32586,0.001,Multi
4.37153,0,Multi
4.41781,0,Multi
4.46406,0,Multi
4.51113,0,Multi
4.55822,0,Multi
4.60559,0,Multi
4.65203,0,Multi
4.69861,0,Multi
4.745,0,Multi
4.79177,0,Multi
4.83894,0.001,Multi
4.88576,0,Multi
4.93543,0.05,Single
4.98122,0.048,Single
5.02783,0.052,Single
5.07528,0.056,Single
5.12214,0.058,Single
5.16881,0.054,Single
5.21529,0.048,Single
5.26188,0.05,Single
5.30855,0.051,Single
5.35505,0.044,Single
5.40125,0.052,Single
5.44811,0.044,Single
5.4946,0.054,Single
5.54222,0.051,Single
5.5895,0.044,Single
5.63685,0.051,Single
5.68437,0.045,Single
5.73172,0.046,Single
5.77864,0.049,Single
5.82612,0.046,Single
5.87224,0.054,Single
5.92375,0,Multi
5.97159,0,Multi
6.01821,0,Multi
6.0646,0,Multi
6.11096,0,Multi
6.15824,0,Multi
6.20502,0,Multi
6.25219,0.001,Multi
6.29975,0,Multi
6.34716,0.001,Multi
6.39554,0,Multi
6.44233,0,Multi
6.48954,0,Multi
6.53684,0.001,Multi
6.58399,0.001,Multi
6.63204,0,Multi
6.6798,0,Multi
6.72734,0.001,Multi
6.77867,0.057,Single
6.82503,0.06,Single
6.87267,0.047,Single
6.91979,0.054,Single
6.96682,0.05,Single
7.01322,0.051,Single
7.0597,0.049,Single
7.10605,0.052,Single
7.15217,0.046,Single
7.19857,0.049,Single
7.24502,0.045,Single
7.29122,0.05,Single
7.3374,0.054,Single
7.38444,0.044,Single
7.4318,0.076,Single
7.48654,0,Multi
7.53296,0,Multi
7.58016,0,Multi
7.62647,0.001,Multi
