Time (s),Frame Time (ms)
0,0
0.049829,0
0.125946,0
0.172351,0
0.218799,0
0.265562,0.001
0.312119,0
0.359512,0.001
0.406654,0.001
0.453836,0.001
0.501425,0
0.548654,0.001
0.59632,0
0.643815,0
0.690826,0
0.738619,0
0.785853,0
0.83271,0
0.879264,0
0.925876,0
0.972778,0
1.01939,0.001
1.06605,0
1.11273,0.001
1.15948,0
1.20627,0
1.2527,0
1.29951,0.001
1.34678,0
1.39375,0
1.43993,0
1.48631,0
1.53307,0
1.57986,0
1.62661,0
1.67302,0
1.71979,0.001
1.76612,0
1.81259,0.001
1.85888,0
1.90534,0.001
1.95168,0
1.99851,0
2.04486,0
2.09148,0
2.13808,0
2.18434,0.001
2.23073,0
2.27751,0
2.32428,0
2.37087,0.001
2.41744,0
2.46402,0.001
2.51084,0
2.55753,0
2.60453,0
2.65071,0
2.69739,0
2.74425,0.001
2.79115,0
2.83793,0.001
2.88474,0
2.93146,0.001
2.97857,0
3.0253,0
3.07236,0
3.11946,0
3.16593,0.001
3.21223,0
3.2584,0.001
3.30451,0
3.35084,0
3.39703,0.001
3.44351,0
3.49016,0
3.53695,0.001
3.58359,0.001
3.63048,0
3.67688,0
3.72307,0.001
3.76961,0
3.8162,0.001
3.86321,0
3.90969,0
3.95697,0.001
4.00347,0
4.04966,0
4.09638,0
4.14295,0.001
4.18989,0.001
4.23629,0.001
4.28258,0
4.32899,0
4.37554,0
4.42227,0
4.46883,0
4.51501,0.001
4.56201,0
4.60876,0
4.65509,0.001
4.70129,0
4.74788,0.001
4.79436,0.001
4.84071,0
4.88723,0
4.9339,0
4.98058,0
5.02723,0
5.07426,0.001
5.121,0
5.16805,0
5.21516,0
5.26259,0
5.30942,0.001
5.35635,0
5.4026,0.001
5.4493,0.001
5.49609,0.001
5.54315,0.007
5.5898,0
5.63639,0
5.68332,0
5.73011,0
5.77693,0
5.82384,0.001
5.87046,0.001
5.91779,0
5.96465,0
6.01148,0
6.05904,0
6.10565,0.001
6.1524,0
6.1995,0
6.24625,0
6.29337,0
6.33969,0
6.3868,0.001
6.43421,0
6.48067,0
6.52711,0.005
6.57427,0
6.62137,0
6.66756,0.001
6.71421,0
6.76084,0
6.80733,0.001
6.85406,0
6.90122,0
6.94775,0.001
6.99489,0
7.04142,0
7.08783,0
7.13458,0
7.18145,0
7.22841,0
7.27521,0
7.32172,0.001
7.36785,0
7.41425,0
7.46087,0.001
7.50812,0
7.55596,0
7.60281,0
7.65007,0.001
7.69696,0.001
7.74408,0.001
7.79114,0
7.83803,0
7.88464,0
7.93197,0.001
7.97878,0
8.02548,0
8.07197,0
8.11894,0.001
8.16578,0
8.21242,0
8.2589,0.001
8.30563,0
8.35264,0.001
8.39963,0.001
8.44647,0.001
8.49313,0.001
8.54005,0
8.58621,0
8.63313,0
8.68024,0
8.72699,0.001
8.77409,0
8.82073,0.001
8.86759,0
8.91387,0
8.96031,0
9.00772,0
9.05473,0
9.10184,0.001
9.14862,0
9.19575,0
9.24258,0
9.28962,0
9.33644,0
9.38301,0.001
9.42983,0.001
9.47657,0
9.52332,0
9.57018,0
9.61712,0
9.66497,0.001
9.71447,0
9.76354,0
9.81138,0.001
9.85926,0.001
9.90681,0.001
9.95514,0
10.002,0
10.0491,0.001
10.097,0
10.1432,0.001
10.1902,0
10.2374,0
10.2842,0.001
10.3314,0
10.3784,0.001
10.4258,0
10.4721,0
10.5184,0
10.5646,0
10.6107,0
10.6573,0.001
10.7046,0
10.7512,0.001
10.798,0
10.8456,0
10.893,0
10.941,0
10.9896,0.001
11.0375,0
11.0853,0
11.133,0.001
11.1813,0.001
11.2287,0
11.2757,0
11.3231,0
11.3698,0
11.4165,0
11.4643,0.001
11.5118,0
11.5587,0
11.6064,0.001
11.6544,0
11.7024,0
11.7501,0
11.7979,0
11.8452,0
11.8927,0
11.9395,0
11.9863,0.001
12.0333,0.001
12.0811,0
12.1283,0
12.1746,0
12.2212,0
12.2684,0
12.3154,0.001
