Time (s),Frame Time (ms)
1e-06,0
0.048486,0
0.142835,0.001
0.189353,0
0.236163,0.001
0.282846,0.001
0.33004,0.001
0.37658,0.001
0.422848,0.001
0.470128,0.001
0.516946,0
0.563323,0.001
0.61015,0
0.657189,0
0.704334,0
0.751317,0
0.798193,0
0.845218,0.001
0.89171,0
0.938601,0
0.985348,0.001
1.03169,0.001
1.07836,0
1.12503,0
1.17179,0
1.2185,0
1.26491,0.001
1.31191,0.001
1.35844,0
1.40455,0
1.45138,0
1.49794,0
1.54448,0
1.59113,0
1.63779,0.03
1.68419,0
1.73041,0
1.77693,0
1.82358,0.001
1.87043,0.001
1.91698,0
1.96335,0
2.00976,0
2.05654,0
2.10326,0
2.14984,0
2.1965,0
2.24305,0
2.28948,0
2.33595,0
2.38221,0
2.42867,0
2.47468,0
2.52105,0.001
2.56742,0
2.61411,0
2.66051,0
2.70743,0
2.75335,0
2.80116,0
2.84783,0
2.89424,0
2.94052,0.001
2.98692,0
3.03357,0
3.08048,0
3.12685,0
3.17372,0
3.22041,0
3.26721,0
3.31373,0
3.36031,0.001
3.40727,0
3.45408,0
3.50079,0
3.54756,0.001
3.59412,0
3.64089,0.001
3.68743,0
3.73403,0
3.78104,0.001
3.82846,0
3.87502,0
3.92171,0.001
3.96763,0
4.01417,0.001
4.06137,0
4.10787,0
4.15471,0
4.20181,0
4.24804,0.001
4.29489,0.001
4.34184,0
4.38859,0
4.43555,0
4.48256,0
4.52928,0.001
4.57576,0
4.62227,0
4.66865,0
4.71534,0
4.76278,0
4.81038,0.001
4.85683,0.001
4.9031,0.001
4.94955,0
4.99661,0
5.04328,0.001
5.08976,0
5.136,0.001
5.1824,0
5.2288,0
5.27542,0
5.32194,0.001
5.36851,0
5.41504,0
5.46164,0.001
5.5087,0
5.55576,0.001
5.60276,0.001
5.64972,0
5.69678,0.001
5.74341,0.001
5.79011,0
5.83729,0
5.88381,0.001
5.9302,0
5.97661,0
6.02305,0
6.06983,0
6.11564,0.001
6.16207,0
6.20912,0
6.25591,0
6.30277,0
6.35017,0
6.39715,0
6.44546,0.001
6.49203,0
6.53886,0.001
6.58552,0.001
6.63258,0.001
6.67956,0.001
6.72588,0
6.77217,0
6.8188,0
6.86513,0
6.91201,0.001
6.95882,0.001
7.00543,0
7.05237,0.001
7.09905,0.001
7.14579,0
7.19281,0
7.2397,0.001
7.28631,0
7.33358,0.001
7.3804,0
7.42686,0.001
7.47337,0
7.52034,0.001
7.56716,0.001
7.61386,0.001
7.66065,0
7.70762,0.001
7.75551,0
7.80237,0
7.8491,0
7.89618,0
7.94329,0
7.99009,0
8.03717,0
8.08446,0.001
8.13096,0
8.17789,0
8.22468,0
8.27167,0.001
8.31857,0
8.36541,0
8.41218,0.001
8.45932,0
8.50633,0
8.55287,0
8.59984,0
8.64654,0.001
8.69316,0
8.73916,0.001
8.78584,0
8.83292,0
8.87938,0
8.9265,0
8.97347,0.001
9.02029,0
9.0672,0
9.11375,0
9.16054,0.001
9.20678,0.001
9.2538,0
9.30064,0
9.34748,0
9.3941,0
9.44109,0
9.48817,0
9.53538,0
9.58209,0.001
9.62844,0.001
9.67493,0.001
9.72235,0.001
9.76893,0.001
9.81542,0.001
9.86217,0
9.91,0
9.95736,0
10.0047,0
10.0516,0
10.0988,0.001
10.1457,0
10.1928,0
10.2391,0
10.2854,0
10.3316,0.001
10.3779,0
10.4244,0.001
10.4711,0
10.5177,0
10.5641,0
10.6107,0
10.6572,0
10.7038,0
10.7502,0
10.7965,0
10.8428,0.001
10.8892,0.001
10.9353,0
10.9819,0
11.0282,0
11.075,0
11.1224,0
11.1695,0
11.2168,0.001
11.2642,0.001
11.3109,0
11.3575,0
11.404,0.001
11.4514,0.001
11.4981,0
11.5451,0
11.5917,0
11.6384,0
11.6851,0
11.7318,0
11.7787,0
11.8262,0
11.8725,0
11.9197,0
11.9665,0
12.0131,0
12.0598,0
12.1064,0.001
12.1531,0
12.2002,0
12.2468,0
12.2943,0
12.3407,0
12.3872,0.001
12.4334,0
12.4802,0
12.5272,0
12.5739,0
12.6204,0.001
12.6677,0
12.7144,0.001
12.7607,0
12.8072,0
12.8539,0
12.9007,0.001
12.9472,0.001
12.9936,0.001
13.0403,0
13.0876,0.001
13.1341,0.001
13.1808,0
13.2272,0
13.2742,0
13.321,0.001
13.3676,0.001
13.4141,0.001
13.4611,0.001
13.5078,0.001
13.5545,0
13.6016,0
13.6484,0
13.695,0
13.7418,0.001
13.789,0
13.8361,0
13.8831,0
13.9299,0
13.9769,0
14.0236,0.001
14.0704,0
14.1171,0.001
14.1645,0
14.2116,0
14.2586,0
14.3053,0
14.3524,0
14.3989,0
14.445,0
14.4917,0
14.5381,0
14.5846,0
14.6317,0
14.6785,0.001
14.7253,0
14.7726,0
14.8197,0
14.8663,0
14.913,0.001
14.9602,0
15.0068,0
15.0533,0.001
15.1003,0
15.1474,0.001
15.1939,0.001
15.2409,0
15.2875,0
15.3339,0.001
15.3806,0
15.4276,0.001
15.4738,0.001
15.5204,0
15.5675,0
15.6142,0.001
15.6613,0
15.7082,0.001
15.755,0
15.8014,0
15.848,0
15.8947,0
15.9414,0
15.9882,0.001
16.0352,0
16.0819,0
16.1288,0
16.1755,0
16.2225,0
16.2695,0.001
16.316,0.001
16.3627,0
16.41,0
16.4566,0
16.5029,0.001
16.5501,0
16.5969,0
16.6438,0
16.6904,0
16.737,0
16.7835,0.001
16.8306,0.001
16.877,0
16.9243,0.001
16.971,0
17.0173,0
17.0634,0
17.1105,0.001
17.1577,0
17.2041,0
17.2512,0.001
17.2983,0
17.3454,0.001
17.3921,0
17.4388,0
17.4861,0
17.5334,0
17.5798,0.001
17.6267,0
17.6735,0
17.7204,0.001
17.7675,0
17.8141,0
17.8614,0.001
17.9081,0.001
17.9546,0
18.0012,0.001
18.0482,0.001
18.0948,0
18.1414,0
18.1886,0
18.2356,0.001
18.2826,0
18.3295,0
18.3766,0
18.4235,0
18.4704,0.001
18.5172,0
18.564,0
18.6106,0
18.6571,0
18.7037,0
18.7504,0.001
18.7973,0
18.8444,0
18.891,0.001
18.9377,0
18.9848,0
19.0318,0
19.0786,0.001
19.1254,0.001
19.1723,0
19.2194,0
19.2661,0
19.313,0
19.3597,0
19.4064,0.001
19.4533,0
19.4999,0.001
19.5465,0
19.5935,0
19.6402,0
19.6868,0
19.7339,0
19.7806,0
19.8274,0.001
19.8738,0
19.9202,0
19.967,0
20.0135,0
20.0605,0
20.1072,0
20.1539,0
20.201,0
20.2471,0
20.2931,0
20.3406,0.001
20.3871,0.001
20.4337,0
20.4804,0
20.5272,0
20.5736,0
20.6203,0
20.6672,0
20.7134,0
20.7599,0
20.8065,0.001
20.8533,0
20.9003,0.001
20.9473,0.001
