Time (s),Frame Time (ms)
4.3e-05,0.043
0.048007,0.046
0.139552,0.052
0.186854,0.057
0.234813,0.044
0.282692,0.057
0.32984,0.057
0.378166,0.044
0.426129,0.043
0.47283,0.043
0.519999,0.044
0.56683,0.043
0.613924,0.044
0.661396,0.054
0.709064,0.044
0.756397,0.045
0.803676,0.048
0.850473,0.044
0.897067,0.043
0.944147,0.044
0.990885,0.085
1.03778,0.044
1.08444,0.044
1.13143,0.11
1.1781,0.049
1.22488,0.043
1.27152,0.045
1.31819,0.048
1.36492,0.045
1.41141,0.043
1.45794,0.047
1.50461,0.102
1.55133,0.102
1.59813,0.043
1.64507,0.097
1.69199,0.049
1.73834,0.049
1.78557,0.085
1.83255,0.045
1.87898,0.052
1.92613,0.073
1.97285,0.05
2.01937,0.048
2.06608,0.044
2.1126,0.043
2.15932,0.043
2.2057,0.044
2.25229,0.043
2.29882,0.047
2.34539,0.043
2.39207,0.044
2.43903,0.089
2.48598,0.051
2.53294,0.048
2.57971,0.056
2.62651,0.044
2.67304,0.046
2.71943,0.046
2.76592,0.044
2.81242,0.043
2.85928,0.044
2.9059,0.044
2.9523,0.044
2.99913,0.046
3.04541,0.042
3.09184,0.044
3.13889,0.084
3.18524,0.042
3.23182,0.048
3.27846,0.044
3.32494,0.046
3.37171,0.044
3.41802,0.043
3.4645,0.045
3.51152,0.043
3.55847,0.043
3.60586,0.044
3.65345,0.044
3.70094,0.044
3.74771,0.043
3.7949,0.067
3.84224,0.043
3.8892,0.049
3.93651,0.048
3.98394,0.049
4.03171,0.049
4.07933,0.042
4.12652,0.047
4.17313,0.045
4.22006,0.049
4.26644,0.042
4.31311,0.046
4.36014,0.05
4.40721,0.044
4.45428,0.049
4.50117,0.047
4.54763,0.042
4.59404,0.047
4.64128,0.049
4.68808,0.042
4.73462,0.053
4.781,0.052
4.82744,0.053
4.8742,0.076
4.92144,0.048
4.9678,0.049
5.015,0.051
5.06198,0.042
5.10963,0.052
5.15724,0.048
5.20386,0.047
5.2507,0.047
5.29725,0.043
5.34401,0.043
5.39033,0.042
5.43712,0.043
5.48362,0.046
5.53017,0.051
5.57675,0.043
5.62363,0.044
5.67035,0.058
5.71701,0.044
5.76415,0.043
5.81139,0.042
5.85828,0.043
5.90608,0.049
5.95268,0.045
6.002,0.044
6.0495,0.042
6.09704,0.043
6.14493,0.043
6.19205,0.048
6.23941,0.066
6.28668,0.047
6.33415,0.044
6.3819,0.043
6.43004,0.042
6.47729,0.048
6.52466,0.042
6.57209,0.046
6.6191,0.049
6.66551,0.047
6.71223,0.048
6.75874,0.048
6.8059,0.043
6.85293,0.044
6.89917,0.043
6.94555,0.097
6.99243,0.06
7.03948,0.044
7.08652,0.042
7.13347,0.049
7.18041,0.049
7.2282,0.051
7.27542,0.043
7.32208,0.05
7.36867,0.043
7.41646,0.047
7.46368,0.044
7.51123,0.073
7.55788,0.052
7.60528,0.068
7.65276,0.072
7.70024,0.049
7.74832,0.049
7.79633,0.048
7.84403,0.042
7.89138,0.043
7.93845,0.044
7.98548,0.048
8.033,0.043
8.08076,0.044
8.12817,0.043
8.17587,0.051
8.22272,0.049
8.26957,0.045
8.31602,0.049
8.36238,0.049
8.40892,0.049
8.45563,0.049
8.50242,0.056
8.54909,0.049
8.59577,0.05
8.64224,0.044
8.68883,0.043
