Time (s),Frame Time (ms)
4.2e-05,0.042
0.049236,0.051
0.140928,0.044
0.188016,0.043
0.234493,0.044
0.281424,0.043
0.328469,0.056
0.375558,0.043
0.42245,0.045
0.469109,0.043
0.516127,0.042
0.562975,0.047
0.610051,0.044
0.657683,0.052
0.704366,0.044
0.751162,0.043
0.797894,0.043
0.844392,0.044
0.891498,0.043
0.938174,0.044
0.984859,0.054
1.03184,0.043
1.07847,0.043
1.12524,0.043
1.17275,0.042
1.21975,0.045
1.2667,0.042
1.31365,0.043
1.36083,0.043
1.40791,0.051
1.45446,0.047
1.50105,0.049
1.54793,0.057
1.59444,0.045
1.64099,0.05
1.68793,0.044
1.73448,0.066
1.78143,0.069
1.82773,0.048
1.87453,0.041
1.92156,0.047
1.96837,0.042
2.01488,0.05
2.06129,0.044
2.10807,0.044
2.15472,0.044
2.20148,0.049
2.24806,0.049
2.29502,0.05
2.34195,0.043
2.38877,0.043
2.43527,0.06
2.48177,0.042
2.52867,0.047
2.57593,0.043
2.62304,0.043
2.67014,0.044
2.7173,0.046
2.76425,0.097
2.81113,0.042
2.85808,0.042
2.90516,0.042
2.95241,0.05
2.99931,0.089
3.04594,0.049
3.09256,0.044
3.13947,0.045
3.18717,0.044
3.23467,0.042
3.28104,0.042
3.32786,0.05
3.37484,0.044
3.42154,0.05
3.46812,0.043
3.515,0.045
3.56262,0.05
3.60958,0.055
3.65687,0.048
3.70408,0.049
3.75136,0.043
3.79857,0.043
3.84563,0.043
3.89263,0.042
3.93913,0.049
3.98598,0.044
4.03265,0.043
4.07949,0.051
4.12623,0.048
4.17306,0.043
4.21966,0.042
4.26684,0.051
4.31442,0.053
4.36129,0.055
4.40997,0.071
4.45713,0.049
4.50465,0.042
4.55148,0.042
4.59845,0.047
4.64595,0.049
4.6933,0.05
4.74024,0.046
4.78696,0.046
4.83382,0.062
4.88061,0.047
4.92748,0.05
4.97402,0.048
5.02109,0.046
5.06802,0.048
5.11445,0.042
5.16074,0.045
5.20732,0.081
5.25477,0.043
5.30159,0.043
5.34921,0.079
5.39613,0.045
5.44343,0.048
5.49008,0.043
5.53748,0.049
5.58446,0.044
5.63144,0.068
5.67826,0.054
5.72517,0.074
5.77213,0.083
5.81903,0.043
5.8663,0.046
5.91381,0.045
5.96134,0.044
6.00804,0.051
6.05506,0.054
6.10161,0.048
6.14884,0.047
6.19608,0.045
6.24295,0.044
6.28997,0.046
6.33723,0.044
6.38402,0.044
6.43084,0.045
6.47748,0.045
6.52444,0.046
6.5709,0.046
6.6178,0.042
6.66463,0.043
6.71179,0.043
6.75809,0.053
6.80565,0.044
6.85189,0.05
6.89847,0.046
6.94578,0.044
6.99319,0.052
7.0401,0.044
7.08687,0.043
7.13341,0.047
7.17994,0.062
7.22663,0.045
7.27346,0.045
7.32042,0.05
7.36743,0.044
7.41386,0.042
7.46024,0.042
7.50693,0.044
7.55399,0.043
7.60082,0.042
7.64782,0.042
7.69557,0.044
7.74273,0.068
7.78968,0.048
7.83653,0.042
7.88343,0.042
7.93027,0.042
7.97717,0.042
8.02389,0.042
8.07128,0.07
8.11818,0.05
8.16528,0.077
8.21191,0.049
8.25869,0.047
8.30505,0.053
8.35149,0.043
8.39824,0.042
8.44499,0.05
8.49159,0.047
8.53785,0.042
8.58496,0.043
8.63141,0.042
8.67801,0.047
8.72456,0.052
8.77095,0.047
8.81739,0.043
8.86456,0.049
8.91118,0.044
8.95861,0.043
9.00585,0.045
9.05251,0.045
