Time, FPS
2e-07, 0
0.0025356, 807
0.0463527, 372
0.0485472, 372
0.0496945, 372
0.0512247, 372
0.0524403, 372
0.053655, 372
0.0551629, 372
0.0564108, 372
0.0576329, 372
0.0589122, 372
0.0601465, 372
0.061341, 372
0.0625944, 372
0.0638013, 367
0.06498, 367
0.0662786, 367
0.0674146, 367
0.0687126, 367
0.0699278, 367
0.0711228, 367
0.072265, 367
0.0734272, 367
0.0747065, 367
0.0760093, 367
0.0774028, 367
0.078694, 367
0.0799718, 367
0.0811834, 361
0.0825417, 361
0.0837982, 361
0.0850858, 361
0.0863029, 361
0.0874172, 361
0.0885817, 361
0.0899252, 361
0.0910601, 361
0.0923322, 361
0.093548, 361
0.0947394, 361
0.0962377, 361
0.09747, 361
0.0988137, 356
0.100008, 356
0.101207, 356
0.102486, 356
0.10365, 356
0.104874, 356
0.106111, 356
0.107276, 356
0.108443, 356
0.109612, 356
0.110746, 356
0.11187, 356
0.113132, 356
0.114263, 356
0.115442, 356
0.11688, 350
0.11807, 350
0.119256, 350
0.120494, 350
0.121692, 350
0.122897, 350
0.124065, 350
0.125273, 350
0.126416, 350
0.127577, 350
0.128887, 350
0.130128, 350
0.131352, 350
0.132487, 350
0.133643, 345
0.134876, 345
0.13609, 345
0.137381, 345
0.138654, 345
0.139786, 345
0.141033, 345
0.142153, 345
0.143317, 345
0.144573, 345
0.14591, 345
0.147165, 345
0.148317, 345
0.149593, 345
0.150724, 341
0.151903, 341
0.153122, 341
0.154277, 341
0.155397, 341
0.156558, 341
0.157766, 341
0.158976, 341
0.160259, 341
0.161763, 341
0.162978, 341
0.164183, 341
0.165318, 341
0.166609, 341
0.167844, 336
0.169026, 336
0.170139, 336
0.171301, 336
0.172513, 336
0.173684, 336
0.174912, 336
0.176044, 336
0.177191, 336
0.178346, 336
0.179636, 336
0.180881, 336
0.182046, 336
0.18328, 336
0.184426, 336
0.185606, 332
0.186772, 332
0.188012, 332
0.189177, 332
0.190318, 332
0.19155, 332
0.192675, 332
0.193987, 332
0.195214, 332
0.196468, 332
0.197572, 332
0.198683, 332
0.199827, 332
0.201336, 332
0.202556, 327
0.203669, 327
0.204768, 327
0.205937, 327
0.207118, 327
0.208481, 327
0.209742, 327
0.210924, 327
0.212107, 327
0.2133, 327
0.214545, 327
0.215826, 327
0.217049, 327
0.218445, 327
0.219614, 323
0.220812, 323
0.222143, 323
0.22333, 323
0.224486, 323
0.225614, 323
0.226766, 323
0.228054, 323
0.229252, 323
0.230495, 323
0.231681, 323
0.232793, 323
0.233975, 323
0.235177, 323
0.236453, 319
0.237622, 319
0.238879, 319
0.24002, 319
0.24118, 319
0.242688, 319
0.244131, 319
0.245357, 319
0.246574, 319
0.247708, 319
0.248848, 319
0.250201, 319
0.2514, 319
0.252556, 319
0.253674, 315
0.254917, 315
0.256286, 315
0.257577, 315
0.2587, 315
0.259812, 315
0.261136, 315
0.262427, 315
0.263695, 315
0.264825, 315
0.265983, 315
0.2672, 315
0.268317, 315
0.269449, 315
0.270689, 311
0.271816, 311
0.273104, 311
0.274311, 311
0.275481, 311
0.276777, 311
0.278145, 311
0.279319, 311
0.280445, 311
0.281594, 311
0.282736, 311
0.283999, 311
0.28519, 311
0.286356, 311
0.287554, 307
0.288685, 307
0.289841, 307
0.291272, 307
0.292429, 307
0.293552, 307
0.29469, 307
0.295796, 307
0.296891, 307
0.298274, 307
0.299448, 307
0.300603, 307
0.301777, 307
0.303016, 307
0.30424, 303
0.305486, 303
0.306816, 303
0.307997, 303
0.309116, 303
0.310339, 303
0.311547, 303
0.312819, 303
0.314079, 303
0.315209, 303
0.316356, 303
0.31751, 303
0.318636, 303
0.319906, 303
0.321071, 300
0.32218, 300
0.323332, 300
0.324543, 300
0.325698, 300
0.327033, 300
0.328145, 300
0.32935, 300
0.330551, 300
0.331664, 300
0.333125, 300
0.334304, 300
0.335465, 300
0.336599, 300
0.33775, 296
0.338908, 296
0.340095, 296
0.341275, 296
0.342477, 296
0.343729, 296
0.344931, 296
0.346293, 296
0.347489, 296
0.348604, 296
0.349749, 296
0.351013, 296
0.352263, 296
0.353493, 296
0.354737, 293
0.355907, 293
0.357033, 293
0.35816, 293
0.359353, 293
0.360636, 293
0.361883, 293
0.362996, 293
0.3641, 293
0.365267, 293
0.366497, 293
0.36795, 293
0.369137, 293
0.370289, 293
0.371446, 289
0.372574, 289
0.373675, 289
0.374911, 289
0.376136, 289
0.377301, 289
0.3785, 289
0.379741, 289
0.380941, 289
0.382176, 289
0.383389, 289
0.384584, 289
0.385696, 289
0.386884, 289
0.388041, 289
0.389259, 286
0.390426, 286
0.391617, 286
0.392894, 286
0.394144, 286
0.395478, 286
0.396687, 286
0.397856, 286
0.399115, 286
0.400288, 286
0.401509, 286
0.4027, 286
0.403888, 286
0.404998, 286
0.406115, 283
0.407266, 283
0.408546, 283
0.409867, 283
0.411147, 283
0.412272, 283
0.413393, 283
0.41453, 283
0.415686, 283
0.416849, 283
0.418092, 283
0.419331, 283
0.420505, 283
0.421683, 283
0.42295, 280
0.424152, 280
0.425334, 280
0.426558, 280
0.427676, 280
0.428787, 280
0.430209, 280
0.43148, 280
0.432595, 280
0.433841, 280
0.435053, 280
0.436314, 280
0.43744, 280
0.438563, 280
0.439704, 277
0.440909, 277
0.442082, 277
0.443402, 277
0.444695, 277
0.445957, 277
0.44727, 277
0.448433, 277
0.449583, 277
0.450908, 277
0.452077, 277
0.453342, 277
0.454645, 277
0.455832, 277
0.457015, 274
0.458238, 274
0.45937, 274
0.460477, 274
0.461754, 274
0.462995, 274
0.464304, 274
0.465491, 274
0.466721, 274
0.467936, 274
0.469073, 274
0.470242, 274
0.471498, 274
0.47271, 274
0.473921, 271
0.475046, 271
0.476278, 271
0.477412, 271
0.478725, 271
0.479979, 271
0.481177, 271
0.482289, 271
0.483407, 271
0.48451, 271
0.485845, 271
0.487048, 271
0.488178, 271
0.489319, 271
0.490439, 271
0.49159, 268
0.492825, 268
0.494119, 268
0.495341, 268
0.496465, 268
0.497567, 268
0.498801, 268
0.500013, 268
0.501187, 268
0.502376, 268
0.503497, 268
0.504625, 268
0.506003, 268
0.507271, 268
0.50838, 265
0.509611, 265
0.510879, 265
0.512065, 265
0.513571, 265
0.514719, 265
0.515827, 265
0.517003, 265
0.518112, 265
0.519228, 265
0.520513, 265
0.521735, 265
0.522896, 265
0.524084, 265
0.525209, 263
0.526525, 263
0.528413, 263
0.529571, 263
0.530753, 263
0.531917, 263
0.533048, 263
0.534285, 263
0.535638, 263
0.536945, 263
0.538087, 263
0.539255, 263
0.540369, 263
0.542013, 382
0.543298, 382
0.544427, 382
0.545592, 382
0.546814, 382
0.548076, 382
0.549319, 382
0.550528, 382
0.551657, 382
0.552905, 382
0.554049, 382
0.555691, 382
0.55685, 382
0.558106, 382
0.559301, 825
0.56054, 825
0.561804, 825
0.563066, 825
0.564283, 825
0.565411, 825
0.56653, 825
0.567717, 825
0.5693, 825
0.570574, 825
0.571919, 825
0.573104, 825
0.57437, 825
0.575648, 825
0.576881, 824
0.578074, 824
0.579273, 824
0.580372, 824
0.581524, 824
0.582835, 824
0.584008, 824
0.585172, 824
0.586397, 824
0.587504, 824
0.5886, 824
0.590131, 824
0.591392, 824
0.592526, 824
0.593648, 826
0.594812, 826
0.596125, 826
0.597361, 826
0.598568, 826
0.599776, 826
0.600904, 826
0.602138, 826
0.603673, 826
0.604845, 826
0.606041, 826
0.607241, 826
0.608415, 826
0.609589, 826
0.611112, 822
0.612267, 822
0.613515, 822
0.614701, 822
0.615961, 822
0.617227, 822
0.618395, 822
0.619571, 822
0.620768, 822
0.621963, 822
0.623154, 822
0.624344, 822
0.625574, 822
0.626715, 822
0.627879, 827
0.629136, 827
0.630287, 827
0.631643, 827
0.63276, 827
0.634049, 827
0.635166, 827
0.636269, 827
0.637432, 827
0.638835, 827
0.640038, 827
0.641208, 827
0.642449, 827
0.64363, 827
0.645074, 820
0.646258, 820
0.647369, 820
0.648533, 820
0.649718, 820
0.650944, 820
0.652234, 820
0.653375, 820
0.654485, 820
0.655631, 820
0.656835, 820
0.658043, 820
0.659548, 820
0.660736, 820
0.661907, 820
0.663075, 820
0.664284, 820
0.665595, 820
0.666872, 820
0.668042, 820
0.669199, 820
0.670431, 820
0.671649, 820
0.673136, 820
0.674343, 820
0.675464, 820
0.676666, 820
0.677859, 820
0.678987, 822
0.680321, 822
0.681474, 822
0.682593, 822
0.683743, 822
0.684966, 822
0.686083, 822
0.687457, 822
0.688586, 822
0.689722, 822
0.690973, 822
0.692107, 822
0.693323, 822
0.694556, 822
0.695719, 822
0.696826, 822
0.698035, 822
0.699221, 822
0.700584, 822
0.701981, 822
0.7031, 822
0.704284, 822
0.705532, 822
0.706737, 822
0.708274, 822
0.709483, 822
0.710594, 822
0.711696, 822
0.712791, 825
0.71396, 825
0.715339, 825
0.716532, 825
0.717645, 825
0.718754, 825
0.719888, 825
0.721137, 825
0.722282, 825
0.723438, 825
0.724642, 825
0.72576, 825
0.726945, 825
0.728259, 825
0.729418, 825
0.730612, 825
0.731723, 825
0.732827, 825
0.734033, 825
0.735427, 825
0.736701, 825
0.737969, 825
0.739089, 825
0.740247, 825
0.741424, 825
0.742817, 825
0.743939, 825
0.745049, 825
0.746245, 825
0.74736, 828
0.748488, 828
0.749981, 828
0.751222, 828
0.75243, 828
0.753555, 828
0.754662, 828
0.755913, 828
0.757227, 828
0.758464, 828
0.759584, 828
0.76071, 828
0.761899, 828
0.763343, 828
0.76453, 827
0.765641, 827
0.766739, 827
0.767901, 827
0.769134, 827
0.770547, 827
0.771718, 827
0.772841, 827
0.774005, 827
0.775164, 827
0.776345, 827
0.777662, 827
0.778958, 827
0.780149, 827
0.781315, 828
0.782582, 828
0.783797, 828
0.78496, 828
0.786122, 828
0.78733, 828
0.788443, 828
0.789614, 828
0.791038, 828
0.792239, 828
0.793407, 828
0.794562, 828
0.795672, 828
0.796871, 828
0.798162, 827
0.799304, 827
0.800473, 827
0.801676, 827
0.802821, 827
0.804021, 827
0.805404, 827
0.80655, 827
0.807708, 827
0.808927, 827
0.810068, 827
0.811185, 827
0.812651, 827
0.813935, 827
0.815132, 828
0.816261, 828
0.8174, 828
0.818608, 828
0.819753, 828
0.820881, 828
0.822111, 828
0.823236, 828
0.824368, 828
0.825697, 828
0.826873, 828
0.828082, 828
0.829238, 828
0.830415, 828
0.831613, 828
0.833001, 823
0.834162, 823
0.835367, 823
0.836491, 823
