Time, FPS
2e-07, 0
0.0025035, 788
0.0504376, 348
0.0533856, 348
0.0546858, 348
0.0558211, 348
0.057124, 348
0.0586754, 348
0.0601811, 348
0.0617437, 348
0.0630522, 348
0.0645681, 348
0.0661551, 348
0.0674422, 343
0.0687155, 343
0.0699744, 343
0.0714907, 343
0.0732505, 343
0.0744664, 343
0.0756645, 343
0.0769802, 343
0.078192, 343
0.0797746, 343
0.0809723, 343
0.0821217, 343
0.0832926, 343
0.0846312, 338
0.0860312, 338
0.087293, 338
0.0885165, 338
0.0896778, 338
0.0908651, 338
0.0920228, 338
0.0932668, 338
0.0944876, 338
0.095691, 338
0.0968087, 338
0.0979609, 338
0.0990918, 338
0.100284, 338
0.101501, 333
0.102852, 333
0.10398, 333
0.105104, 333
0.106302, 333
0.107458, 333
0.108735, 333
0.109858, 333
0.111012, 333
0.112121, 333
0.113325, 333
0.11447, 333
0.115602, 333
0.116731, 333
0.1179, 333
0.119075, 329
0.120283, 329
0.121695, 329
0.12288, 329
0.124112, 329
0.125408, 329
0.12661, 329
0.128155, 329
0.129354, 329
0.130569, 329
0.131719, 329
0.132866, 329
0.134156, 329
0.135415, 329
0.136584, 325
0.137802, 325
0.138941, 325
0.140087, 325
0.141379, 325
0.142628, 325
0.143848, 325
0.14505, 325
0.146388, 325
0.147718, 325
0.149127, 325
0.150493, 325
0.151794, 325
0.152976, 325
0.154135, 321
0.155528, 321
0.156715, 321
0.157945, 321
0.159129, 321
0.160409, 321
0.161548, 321
0.162798, 321
0.164016, 321
0.165163, 321
0.166302, 321
0.167524, 321
0.168882, 321
0.170282, 321
0.171496, 317
0.172619, 317
0.173748, 317
0.174969, 317
0.176201, 317
0.177458, 317
0.178658, 317
0.179795, 317
0.180951, 317
0.182117, 317
0.183471, 317
0.184626, 317
0.185812, 317
0.187001, 317
0.188158, 317
0.189342, 313
0.190772, 313
0.191914, 313
0.193033, 313
0.194164, 313
0.195277, 313
0.196515, 313
0.197848, 313
0.19906, 313
0.20022, 313
0.20143, 313
0.202582, 313
0.203814, 313
0.205015, 313
0.206138, 309
0.207271, 309
0.208424, 309
0.209539, 309
0.210745, 309
0.211935, 309
0.213057, 309
0.214176, 309
0.215307, 309
0.216427, 309
0.217658, 309
0.218857, 309
0.219986, 309
0.221098, 309
0.222212, 309
0.223329, 306
0.224549, 306
0.225795, 306
0.226981, 306
0.228186, 306
0.229338, 306
0.230468, 306
0.231641, 306
0.232873, 306
0.234008, 306
0.235131, 306
0.23625, 306
0.23737, 306
0.238649, 306
0.239836, 306
0.240969, 302
0.242112, 302
0.243268, 302
0.244382, 302
0.245556, 302
0.246792, 302
0.247974, 302
0.249091, 302
0.250243, 302
0.251365, 302
0.252748, 302
0.253929, 302
0.255052, 302
0.256199, 302
0.257392, 302
0.258596, 298
0.26014, 298
