Time, FPS
2e-07, 0
0.0036155, 737
0.0391285, 394
0.0419028, 394
0.0433949, 394
0.0446256, 394
0.0459602, 394
0.0478176, 394
0.0491111, 394
0.0514504, 394
0.052756, 394
0.0541429, 394
0.0554162, 394
0.0571397, 385
0.0584484, 385
0.0596253, 385
0.0608526, 385
0.0622192, 385
0.0636839, 385
0.0649635, 385
0.0662392, 385
0.0674353, 385
0.0687581, 385
0.0700732, 385
0.0718103, 385
0.0730444, 385
0.0744046, 379
0.0756871, 379
0.0768791, 379
0.0784654, 379
0.0796961, 379
0.0809173, 379
0.0821741, 379
0.0834368, 379
0.0848369, 379
0.0862342, 379
0.0875375, 379
0.0888251, 379
0.0901617, 379
0.0915098, 372
0.0931258, 372
0.0944152, 372
0.0956074, 372
0.0968085, 372
0.0981239, 372
0.0996272, 372
0.100977, 372
0.10228, 372
0.10347, 372
0.104681, 372
0.106189, 372
0.107586, 372
0.108864, 366
0.11008, 366
0.111282, 366
0.112557, 366
0.113893, 366
0.11517, 366
0.116381, 366
0.117569, 366
0.11876, 366
0.120033, 366
0.12131, 366
0.12257, 366
0.123756, 366
0.124932, 366
0.126237, 361
0.127491, 361
0.128768, 361
0.130022, 361
0.131284, 361
0.132601, 361
0.134074, 361
0.135385, 361
0.136586, 361
0.137758, 361
0.138983, 361
0.140226, 361
0.14152, 361
0.142779, 361
0.144017, 355
0.145221, 355
0.146433, 355
0.147678, 355
0.148874, 355
0.15006, 355
0.151255, 355
0.152428, 355
0.153673, 355
0.155002, 355
0.156194, 355
0.157387, 355
0.15858, 355
0.159804, 355
0.161278, 349
0.162646, 349
0.163835, 349
0.16506, 349
0.166294, 349
0.167556, 349
0.168882, 349
0.170128, 349
0.171314, 349
0.172527, 349
0.173744, 349
0.175185, 349
0.176426, 349
0.177603, 349
0.178812, 344
0.180026, 344
0.181354, 344
0.182733, 344
0.183948, 344
0.185126, 344
0.186362, 344
0.187536, 344
0.188816, 344
0.190466, 344
0.191697, 344
0.192865, 344
0.194134, 344
0.195385, 344
0.196876, 339
0.198125, 339
0.199328, 339
0.200528, 339
0.201766, 339
0.203252, 339
0.204562, 339
0.205838, 339
0.207058, 339
0.208266, 339
0.209672, 339
0.211046, 339
0.212367, 339
0.213639, 334
0.214865, 334
0.216121, 334
0.217619, 334
0.21888, 334
0.22007, 334
0.221425, 334
0.222706, 334
0.224147, 334
0.225345, 334
0.226572, 334
0.227763, 334
0.228928, 334
0.230266, 334
0.231646, 329
0.232856, 329
0.234122, 329
0.235345, 329
0.236582, 329
0.238099, 329
0.239354, 329
0.240531, 329
0.241815, 329
0.243125, 329
0.244562, 329
0.24576, 329
0.246972, 329
0.248156, 329
0.249363, 325
0.250606, 325
0.252158, 325
0.253377, 325
0.254637, 325
0.255822, 325
0.257055, 325
0.258521, 325
0.259772, 325
0.26103, 325
0.26229, 325
0.263493, 325
0.265094, 325
0.266451, 320
0.267788, 320
0.268991, 320
0.270262, 320
0.271473, 320
0.272937, 320
0.274226, 320
0.275426, 320
0.276607, 320
0.277833, 320
0.279323, 320
0.280561, 320
0.28183, 320
0.283135, 315
0.284324, 315
0.285644, 315
0.287021, 315
0.2882, 315
0.289421, 315
0.290636, 315
0.291857, 315
0.293368, 315
0.294765, 315
0.295945, 315
0.297135, 315
0.298427, 315
0.299823, 311
0.301094, 311
0.302308, 311
0.303515, 311
0.304699, 311
0.306022, 311
0.307527, 311
0.308724, 311
0.310015, 311
0.311348, 311
0.312569, 311
0.313981, 311
0.315351, 311
0.316581, 307
0.31776, 307
0.318998, 307
0.320175, 307
